property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31785818,1003 N LANCASTER HUTCHINS RD LANCASTER TX 75146,4,2.0,2022,2464,67640,460011,Redfin Estimate,32.6014932,-96.7481656,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1003+N+Lancaster+Hutchins+Rd%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=_RmcyAPXJIV5jW8NpPQUV4rgRXk='],75146
32266423,2809 MCKENZIE LN LANCASTER TX 75134,3,2.0,2002,1512,5558,253757,Redfin Estimate,32.6223267,-96.8052299,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2809+McKenzie+Ln%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=6Pwtx1DLqlXpISbMn-WO6AmILO0='],75134
31786187,126 BARRY LN LANCASTER TX 75146,3,2.0,1956,1462,10851,254242,Redfin Estimate,32.5921827,-96.7680111,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=126+Barry+Ln%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=Q0izpNh_x4cBUceIJZBREX6blV0='],75146
31776669,441 S LANCASTER HUTCHINS RD LANCASTER TX 75146,3,2.5,1977,2036,167253,372604,Redfin Estimate,32.588282,-96.7518457,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=441+S+Lancaster+Hutchins+Rd%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=i3wmaiOkMA2N-5JcntqfPweTCp4='],75146
30755178,3132 CRIMSON CLOVER DR LANCASTER TX 75134,4,2.0,2004,2049,7501,302761,Redfin Estimate,32.6262522,-96.7911684,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3132+Crimson+Clover+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=fngb4gVLJ1QpF3GGK_QiM0SffL8='],75134
30755286,1511 GOLDEN GRASS DR LANCASTER TX 75134,3,2.0,2004,1934,7501,309083,Redfin Estimate,32.6249837,-96.7943069,['https://ssl.cdn-redfin.com/photo/90/mbphoto/353/genMid.14491353_2.jpg'],75134
30755084,3029 PAINT BRUSH PL LANCASTER TX 75134,3,2.0,2004,1934,7501,299392,Redfin Estimate,32.6246704,-96.7895364,['https://ssl.cdn-redfin.com/photo/90/mbphoto/144/genMid.14304144_0.jpg'],75134
30730046,1320 BUMBLE BEE DR LANCASTER TX 75134,5,2.5,2002,2945,7858,336075,Redfin Estimate,32.621612,-96.7892017,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1320+Bumble+Bee+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=guQtO2llwqltU1lKe_1WtWkT8Ec='],75134
30730003,3019 CRIMSON CLOVER DR LANCASTER TX 75134,3,2.0,2003,1934,8499,305958,Redfin Estimate,32.6238662,-96.790185,['https://ssl.cdn-redfin.com/photo/90/mbphoto/884/genMid.14764884_1.jpg'],75134
30778688,1531 ILLINOIS AVE LANCASTER TX 75134,3,2.0,2013,2105,7749,323025,Redfin Estimate,32.631392,-96.7952694,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1531+Illinois+Ave%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=qDy19pP467x2tbYymsuF1O6sqVk='],75134
31792831,2221 MONTCLAIR ST LANCASTER TX 75146,3,2.0,1985,1482,6599,277297,Redfin Estimate,32.6025363,-96.8013795,['https://ssl.cdn-redfin.com/photo/90/mbphoto/109/genMid.14152109_2.jpg'],75146
